size	domain	http	server	cf	platform	text_bytes	js_state
large	gatesfoundation.org	200	cloudflare	yes	unknown	149607	no
large	macfound.org	200	cloudflare	yes	unknown	9482	no
large	hewlett.org	200	nginx	no	wordpress	50367	no
large	kresge.org	200	cloudflare	yes	wordpress	27181	no
large	mott.org	200	cloudflare	yes	wordpress	29021	no
large	fordfoundation.org	200	cloudflare	yes	wordpress	77309	no
large	rwjf.org	200	Apache	no	unknown?aem	13132	no
large	packard.org	200	cloudflare	yes	wordpress	101699	no
large	rockefellerfoundation.org	200	nginx	no	wordpress	53409	no
large	carnegie.org	200	cloudflare	yes	wordpress	53584	no
large	kauffman.org	200	nginx	no	wordpress	80141	no
large	luminafoundation.org	200	cloudflare	yes	wordpress	35607	no
large	wkkf.org	200	nginx	no	wordpress?aem	60510	no
large	sloan.org	403	cloudflare	yes	unknown	513	likely_js_only
large	mellon.org	200	Netlify	no	unknown+next	1366	likely_js_only
mid	siliconvalleycf.org	200	nginx	no	unknown?aem	15145	no
mid	cct.org	403	cloudflare	yes	unknown	513	likely_js_only
mid	nycommunitytrust.org	200	cloudflare	yes	unknown	291	likely_js_only
mid	oregoncf.org	200	cloudflare	yes	unknown	12192	no
mid	seattlefoundation.org	200	cloudflare	yes	wordpress	203558	no
small	adamscountyfoundation.org	200	Pepyaka	no	wix?aem	350783	no
small	bentoncf.org	200	nginx	no	wordpress	34066	no
small	blackfordcofoundation.org	200	Apache	no	wordpress	115667	no
small	browncountygives.org	200	nginx	no	wordpress	39216	no
small	casscountycf.org	200	Pepyaka	no	wix	621212	no
small	cf-cc.org	200	nginx	no	duda	427872	no
small	daviesscountycf.org	200	nginx/1.29.8	yes	wordpress	118035	no
small	dearborncf.org	200	cloudflare	yes	wordpress	40600	no
small	dccfound.org	200	Pepyaka	no	wix	514765	no
small	cfdekalb.org	200	hcdn	no	wordpress	50220	no
small	greenecountyfoundation.org	200	Apache	no	wordpress	89422	no
small	hccfindiana.org	200	Apache	no	unknown	23011	no
small	henrycountycf.org	200	Apache	no	wordpress	90955	no
small	huntingtonccf.org	200	Flywheel/5.1.0	no	wordpress	23855	no
small	jasperfdn.org	200	nginx	no	wordpress	144711	no
small	jenningsfoundation.net	200	DPS/2.0.0+sha-9ac0622	yes	unknown	70906	no
small	kcfoundation.org	200	Flywheel/5.1.0	no	wordpress	16896	no
small	lccf.net	200	Apache	no	wordpress	112821	no
small	marshallcountycf.org	200	nginx	no	wordpress	40821	no
small	mccf-in.org	200	nginx	no	unknown	5361	no
small	occfrisingsun.com	200	Apache	no	wordpress	28650	no
small	owencountycf.org	200	Pepyaka	no	wix	488917	no
small	parkeccf.org	200	nginx	no	wordpress	154105	no
small	cfopc.org	200	nginx	no	wordpress	244683	no
small	randolphcountyfoundation.org	200	Apache/2.4	no	wordpress	21438	no
PLATFORM_DONE
