size	domain	home_http	home_latest_ts	cdx_http	distinct_urls_2024plus	capped	first_ts	last_ts
large	gatesfoundation.org	200	20260904175007	200	3000	yes	20240101042137	20260827164621
large	macfound.org	200	20260904003322	200	3000	yes	20240101000026	20260905075058
large	hewlett.org	200	20260904040504	200	3000	yes	20240102124032	20260809145537
large	kresge.org	200	20260904003407	200	3000	yes	20240102201028	20260903101833
large	mott.org	200	20260831155905	200	3000	yes	20240102144340	20260822221631
large	fordfoundation.org	200	20260905131447	200	3000	yes	20240101004242	20260901233820
large	rwjf.org	200	20260904002701	200	3000	yes	20240102134435	20260903125559
large	packard.org	200	20260904003404	200	3000	yes	20240101110950	20260718213423
large	rockefellerfoundation.org	200	20260904173244	200	3000	yes	20240101102622	20260825153203
large	carnegie.org	200	20260904080423	200	3000	yes	20240101094741	20260906073437
large	kauffman.org	200	20260831153300	200	3000	yes	20240101074902	20260903144356
large	luminafoundation.org	200	20260831154746	200	3000	yes	20240101104441	20260904184714
large	wkkf.org	200	20260831080514	200	3000	yes	20240101013013	20260904180015
large	sloan.org	200	20260901093833	200	3000	yes	20240101090247	20260829080334
large	mellon.org	200	20260904003304	200	3000	yes	20240102230149	20260825094159
mid	siliconvalleycf.org	200	20250307220652	200	958	no	20240101110429	20251030132312
mid	cct.org	200	20260726145107	200	3000	yes	20240102150816	20260421080228
mid	nycommunitytrust.org	200	20260904040247	200	2212	no	20240103215447	20260727010013
mid	oregoncf.org	200	20260901233818	200	3000	yes	20240106150813	20260902024143
mid	seattlefoundation.org	200	20260831045430	200	3000	yes	20240101044729	20260823193551
small	adamscountyfoundation.org	200	20260606005500	200	514	no	20240228082215	20260717145557
small	bentoncf.org	200	20250408042825	200	237	no	20240216131712	20250316012928
small	blackfordcofoundation.org	200	20260614160850	200	333	no	20240228180112	20260423025154
small	browncountygives.org	200	20260608144240	200	737	no	20240101043841	20260608152042
small	casscountycf.org	200	20260607081822	200	58	no	20240228082552	20260218081439
small	cf-cc.org	200	20260104132843	200	307	no	20240216150521	20260104201316
small	daviesscountycf.org	200	20260707203940	200	16	no	20240414162401	20250917012529
small	dearborncf.org	200	20260216214520	200	540	no	20240223004412	20260521195932
small	dccfound.org	200	20260616123744	200	424	no	20240222005402	20260606141030
small	cfdekalb.org	200	20260610213822	200	368	no	20240115030611	20260810003854
small	greenecountyfoundation.org	200	20260613060947	200	931	no	20240118100908	20260728211412
small	hccfindiana.org	200		200	1732	no	20240217032542	20260811222334
small	henrycountycf.org	200	20260411000000	200	1500	no	20240216135456	20260614170922
small	huntingtonccf.org	200	20260813083747	200	3000	yes	20240118054103	20260813083926
small	jasperfdn.org	200	20260207070258	200	4	no	20240510051402	20250708105130
small	jenningsfoundation.net	200	20230731161026	200	0	no		
0	no		
small	kcfoundation.org	200	20260609140749	200	3000	yes	20240101075751	20260726132158
small	lccf.net	200	20260724190018	200	1305	no	20240101074851	20260724190005
small	marshallcountycf.org	200		200	947	no	20240228081620	20260130093053
small	mccf-in.org	200	20260522210649	200	226	no	20240227153503	20260614072134
small	occfrisingsun.com	200	20260615051708	200	422	no	20240104154329	20260218132152
small	owencountycf.org	200		200	248	no	20240216184428	20260419214528
small	parkeccf.org	200	20260609154746	200	1070	no	20240222194245	20260609154226
small	cfopc.org	200	20251119073908	200	424	no	20240222001938	20251010054451
small	randolphcountyfoundation.org	200	20260801023444	200	1724	no	20240222205546	20260728214804
WB_PROBE_DONE
